image_name,gpstimestamp,time_diff,ins_status,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1418235094376377,1418235094380671,4294,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.870901,5735847.027321,619997.429080,-116.870901,30U,0.004084,0.001800,-0.009924,0.053509,0.000531,4.681977
1418235094438868,1418235094440671,1803,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.871504,5735847.027561,619997.429187,-116.871504,30U,0.003754,0.001933,-0.009961,0.053516,0.000528,4.681971
1418235094501359,1418235094500671,-688,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.872121,5735847.027786,619997.429308,-116.872121,30U,0.003615,0.002185,-0.010441,0.053519,0.000524,4.681969
1418235094563850,1418235094560672,-3178,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.872744,5735847.028021,619997.429438,-116.872744,30U,0.004000,0.002299,-0.010220,0.053504,0.000529,4.681970
1418235094876306,1418235094880673,4367,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.876265,5735847.029391,619997.430062,-116.876265,30U,0.003879,0.001947,-0.011345,0.053517,0.000527,4.681976
1418235094938798,1418235094940673,1875,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.876948,5735847.029631,619997.430181,-116.876948,30U,0.003818,0.002253,-0.011118,0.053513,0.000531,4.681982
1418235095001289,1418235095000674,-615,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.877618,5735847.029862,619997.430297,-116.877618,30U,0.003906,0.001940,-0.011132,0.053499,0.000530,4.681981
1418235095063781,1418235095060674,-3107,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.878291,5735847.030089,619997.430404,-116.878291,30U,0.003718,0.001694,-0.011308,0.053500,0.000532,4.681984
1418235095376237,1418235095380675,4438,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.865121,5735847.025330,619997.429437,-116.865121,30U,0.003113,0.001806,-0.009561,0.053545,0.000479,4.681806
1418235095438729,1418235095440675,1946,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.865677,5735847.025522,619997.429533,-116.865677,30U,0.003300,0.001705,-0.009001,0.053537,0.000479,4.681801
1418235095501219,1418235095500676,-543,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.866210,5735847.025716,619997.429628,-116.866210,30U,0.003112,0.001735,-0.008793,0.053532,0.000481,4.681797
1418235095563711,1418235095560676,-3035,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.866749,5735847.025904,619997.429733,-116.866749,30U,0.003017,0.001681,-0.009142,0.053532,0.000483,4.681799
1418235095876165,1418235095880677,4512,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.869620,5735847.026838,619997.430348,-116.869620,30U,0.002296,0.002139,-0.008424,0.053537,0.000490,4.681783
1418235095938659,1418235095940678,2019,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.870125,5735847.026969,619997.430468,-116.870125,30U,0.002051,0.002136,-0.008645,0.053534,0.000489,4.681783
1418235096001150,1418235096000678,-472,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.870663,5735847.027113,619997.430601,-116.870663,30U,0.002525,0.002286,-0.008938,0.053524,0.000480,4.681786
1418235096063641,1418235096060678,-2963,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.871189,5735847.027282,619997.430741,-116.871189,30U,0.002891,0.002438,-0.008606,0.053519,0.000472,4.681790
1418235096376097,1418235096380679,4582,INS_ALIGNMENT_COMPLETE,51.760643,-1.261250,116.861200,5735847.024363,619997.428719,-116.861200,30U,0.001270,0.001221,-0.007388,0.053570,0.000456,4.681816
