image_name,gpstimestamp,time_diff,ins_status,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1447410493070116,1447410493073512,3396,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.342467,5735839.775631,619998.287157,-106.342467,30U,0.001095,0.000803,-0.001585,0.041078,-0.004711,4.552895
1447410493132615,1447410493133470,855,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.343725,5735839.776353,619998.289690,-106.343725,30U,-0.000085,0.001590,-0.001410,0.041181,-0.004726,4.552304
1447410493195115,1447410493193594,-1521,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.344390,5735839.776660,619998.290948,-106.344390,30U,-0.000443,0.001804,-0.000950,0.041209,-0.004743,4.552220
1447410493257616,1447410493253719,-3897,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.344444,5735839.776642,619998.291062,-106.344444,30U,-0.000121,0.002103,-0.000910,0.041184,-0.004749,4.552219
1447410493570118,1447410493573661,3543,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.344714,5735839.776762,619998.291657,-106.344714,30U,-0.000790,0.002156,-0.001182,0.041201,-0.004745,4.552219
1447410493632620,1447410493633526,906,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.344789,5735839.776715,619998.291790,-106.344789,30U,-0.000791,0.002347,-0.001491,0.041180,-0.004747,4.552221
1447410493695120,1447410493693478,-1642,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.344869,5735839.776687,619998.291931,-106.344869,30U,-0.000302,0.002177,-0.001188,0.041165,-0.004744,4.552221
1447410493757622,1447410493753601,-4021,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.344925,5735839.776671,619998.292054,-106.344925,30U,-0.000348,0.002015,-0.001036,0.041167,-0.004742,4.552222
1447410494070126,1447410494073493,3367,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.343987,5735839.777014,619998.290416,-106.343987,30U,-0.001867,0.001816,-0.000908,0.041217,-0.004678,4.551797
1447410494132625,1447410494133615,990,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.343093,5735839.775542,619998.289505,-106.343093,30U,-0.002142,0.001409,-0.000951,0.041141,-0.004617,4.550922
1447410494195126,1447410494193737,-1389,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.342660,5735839.774726,619998.289086,-106.342660,30U,-0.002166,0.001494,-0.000544,0.041117,-0.004590,4.550487
1447410494257627,1447410494253825,-3802,INS_ALIGNMENT_COMPLETE,51.760577,-1.261240,106.342688,5735839.774591,619998.289169,-106.342688,30U,-0.002195,0.001313,-0.000250,0.041122,-0.004590,4.550489
